Column1,이름,설명,분과
0,묵연회,취미로 쉽게 배울 수 있는 캘리그라피부터 시작해서 뼈대깊은 서예를 할 수 있는 중앙동아리 유일무이 붓글씨 동아리입니다,1
1,은가비,조선대학교 더빙동아리 은가비입니다!,1
2,illusion,안녕하세요 마술동아리 illusion입니다 :)저희 동아리는 취미로 마술을 하고싶어 하는 사람들을 모집하고 있습니다. 마술을 잘 하지 못해도 괜찮습니다!!!누구나 환영이니 부담 갖지말고 연락주세요 :),1
3,조대극회,"조대극회는 어떤 동아리인가요 저희 조대극회는 1946년부터 시작된 많은 역사를 자랑하고 있는 조선대 총동아리 소속 유일 연극 동아리입니다! 극회에서는 어떤 활동을 하나요 연 2회 정기공연을 통해 한 학기동안 서로 연습했던 연극을 올립니다! 어떤 학우를 모집하나요 연기에 관심있는 학우연극, 드라마, 영화를 보면서 연기가 재미있어보였던 학우연기를 하면서 서로 친밀감을 쌓고 싶은 학우자신감을 키우고 싶은 학우성실하고 꾸준한 참여에 자신이 있는 학우무대에 서 보고싶은 학우무대 구성/디자인에 관심이 있는 학우 외모가 출중하지 않아도 괜찮나요 / 나이or학번 제한이 있나요 / 연기를 못하는데 괜찮나요 조대극회는 연기에 열정이 있는 모든 분들에게 문이 열려있습니다 조대극회는 약속된 시간을 엄수합니다!",1
4,조선대학교 풍물패 연합,조선대학교 소속인 풍물패들의 연합동아리로 우리나라 전통 음악 보존과 계승에 힘쓰는 것과 더불어 즐거운 대학생활을 하기 위한 친목을 도모하는 동아리입니다.,1
5,PHOTO-Y,사진이 배우고 싶다면다양한 학과의 매력적인 사람들과 만나고 싶다면50년 전통 사진동아리가 믿음이 간다면대학 생활이 외롭다면여행을 좋아한다면자신을 사진으로 표현하고 싶다면혼자만 찍는 사진이 아닌 함께 무엇인가 해보고 싶다면사진 찍고 보정하고 인화까지 다양한 체험을 하고 싶다면 PHOTO-Y로 오세요 여러분을 항상 기다리고 있습니다,1
6,소리터 관현악단,"전남대조선대 연합 관현악 동아리1989년 설립, 30년 이상의 역사",1
7,나라얀(narayan),나라얀 신입생 모집안녕하세요~! 간지와방 그룹사운드 나라얀입니다.조선대학교 밴드동아리 나라얀(NARAYAN)에서 신입생을 모집합니다!동아리의 꽃! 밴드 동아리 함께 해봐요 +0+ 그룹사운드에 관심이 있거나 합주나 공연에 관심있으신분-!새로운 악기를 배워보고 싶은 분-!나라얀으로 날아와-! 모집분야보컬/기타/베이스/드럼/신디지원조건21학번 신입생 누구나 가능합니다. 초보자도 환영입니다!! 열정만 가득하시면 누구나 대환영입니다. 언제든 문의주세요!!(쪽지도 환영입니다)회장) 010-5966-6869위치: 학생회관 6층 6127호 나라얀(NARAYAN),1
8,조대관현악반,"안녕하세요! 아마추어 오케스트라 조선대학교 관현악반입니다! 관현악반에서 앞으로 함께할 신입 부원을 모집합니다 !  관현악반 동아리는! 배우고 싶은 악기가 있으신 분 음악 or 악기에 관심이 많으신 분 음악을 사랑하시는 분 초, 중, 고에서 개인적으로 악기를 하시다가 그만두신 분 대학교에 와서 동아리나 무언가를 이루고 싶으신 분 악기 하나 제대로 배우고 연주해보고 싶으신 분 등등! 모두 환영합니다!  저희 동아리는 매년 정기연주회와 작은 연주회를 통해 ! 음악적 감각과 경험을 쌓고 ! 관객분들과 소통하는 능력을 키울 수 있습니다 ! 동아리 M.T(Membership Training), 야유회,LTC(Leadership Training Camp), 개강/종강총회를 통해동아리 부원과 함께 멋진 추억도 쌓을 수 있답니다! 기대했던 대학 생활! 조선대학교 관현악반과 함께해요! 동아리",1
9,CARAVAN,45년째 이어오는 최장수 밴드 동아리로 다양한 성향의 부원들이 모여 장르를 불문하고 음악이라는 매개체를 통해 소통하고 교감하는 스쿨그룹사운드 CARAVAN,1
